word,translation,sentences
crack down on,принимать строгие меры,Police crack down on crime.|The boss cracked down on lateness.|They crack down on fraud.
crop up,возникать,Problems crop up all the time.|A new issue cropped up.|These things crop up.
cut in,вмешиваться,Don't cut in while I'm speaking.|She cut in during the discussion.|He cut in line.
deal with,иметь дело с,I deal with customers daily.|How do you deal with stress?|We must deal with this issue.
do away with,избавиться от,We need to do away with old rules.|They did away with the dress code.|Let's do away with paperwork.
draw up,составлять,Let's draw up a contract.|The lawyer drew up the agreement.|Can you draw up a list?
drum up,создавать,They drummed up support for the event.|We need to drum up interest.|How can we drum up business?
fall apart,разваливаться,The plan fell apart.|My shoes are falling apart.|The team is falling apart.
fall behind,отставать,He fell behind on his work.|Don't fall behind schedule.|We fell behind the competition.
fall for,влюбиться/поверить,He fell for the scam.|She fell for his jokes.|Don't fall for that trick.
follow through,доводить до конца,You must follow through on your promises.|He never follows through.|They followed through.
get ahead,преуспевать,She wants to get ahead in her career.|How can I get ahead at work?|He got ahead quickly.
get along,ладить,Do you get along with your boss?|They get along well.|We don’t get along sometimes.
get around,обойти,We need to get around this issue.|He got around the rule.|She gets around problems easily.
get at,иметь в виду,What are you getting at?|I don't get what you mean.|He was getting at something.
get over,преодолеть,He got over the flu.|She got over her fear.|I can't get over the result.
give in to,поддаваться,He gave in to temptation.|She never gives in to pressure.|Don't give in to fear.
go about,заниматься,How do you go about your work?|She goes about her day calmly.|They go about it differently.
go after,добиваться,Go after your dreams.|She went after the promotion.|They go after new clients.
go by,проходить мимо/основываться,Let’s go by the rules.|Time goes by quickly.|We go by what he said.
go under,разоряться,The shop may go under soon.|Many businesses went under last year.|The project went under.
hand over,передавать,Please hand over the documents.|He handed over control.|She handed over the keys.
hit back,давать отпор,He hit back at critics.|She hit back with strong words.|They hit back with facts.
iron out,улаживать,Let’s iron out the details.|They ironed out their differences.|We need to iron out these issues.
jack up,резко повышать,They jacked up prices.|The rent was jacked up again.|Don't jack up the cost.
join in,присоединяться,Join in if you want.|She joined in the conversation.|Will you join in the game?
keep at,продолжать,Keep at it and you'll improve.|She kept at her training.|He keeps at his studies.
kick off,начинать,The meeting kicked off at 10.|Let's kick off the project.|She kicked off the campaign.
kick in,вступать в силу,The new policy kicks in next week.|The effects kicked in quickly.|The law will kick in soon.
lay into,раскритиковать,He laid into the proposal.|She laid into him for being late.|The boss laid into the team.
lay out,излагать,He laid out his plan clearly.|Can you lay out the details?|She laid out the steps.
leave out,пропускать,Don't leave out any information.|She left out an important fact.|Why did you leave out that part?
let down,подводить,Sorry to let you down.|He felt let down by the results.|She won't let you down.
live up to,оправдывать ожидания,The product lived up to the hype.|She never lives up to her promises.|They lived up to expectations.
look over,просматривать,Please look over the report.|She looked over the files.|Let me look over your work.
look to,рассчитывать на,We look to you for leadership.|He looked to his friends for advice.|They look to expand soon.
map out,планировать,We need to map out our next steps.|She mapped out the whole strategy.|Let’s map out a solution.
move forward,двигаться вперёд,Let's move forward with the plan.|We need to move forward quickly.|How can we move forward?
narrow down,сузить,We need to narrow down our choices.|She narrowed down the list.|Let's narrow down the options.
pass out,раздавать/терять сознание,Please pass out the forms.|He passed out at the party.|They passed out information.
phase out,постепенно прекращать,We're phasing out old products.|They phased out the policy.|The company phased out bonuses.
pick out,выбирать,Pick out the best option.|She picked out a dress.|He picked out a book.
pile up,накапливаться,Work is piling up.|The bills are piling up.|Problems piled up quickly.
pin down,уточнять,It's hard to pin down a date.|Can you pin down the cause?|She pinned down the details.
play down,преуменьшать,He played down his role.|She played down the problem.|Don’t play it down.
pull off,добиться успеха,They pulled off the win.|Can we pull off this deal?|She pulled off a surprise.
pull through,выжить,He pulled through the surgery.|We’ll pull through this crisis.|She pulled through in the end.
put across,донести мысль,He put his idea across well.|She put across the message clearly.|Can you put this across?
put forward,выдвигать,They put forward a new proposal.|She put forward her ideas.|Who put forward that plan?
put up with,терпеть,I can't put up with this.|She puts up with a lot.|He put up with delays.
reach out,связываться,Reach out if you need help.|She reached out to a friend.|We reach out to new clients.
rule out,исключать,We can't rule out the option.|She ruled out his idea.|Don't rule out changes.
run across,натолкнуться,I ran across an old friend.|She ran across a problem.|We ran across some issues.
run by,показать/обсудить,Can I run this by you?|She ran the plan by her boss.|Let me run it by the team.
see through,доводить до конца/видеть насквозь,She saw the project through.|I saw through his lies.|We need to see this through.
set aside,откладывать,Set aside some money.|She set aside her work.|They set aside their differences.
settle down,осесть,He settled down in a new city.|She settled down after college.|Settle down and start working.
show around,показывать,I'll show you around the office.|She showed me around the city.|He showed them around.
single out,выделять,She singled out one student.|He was singled out for praise.|They singled out a candidate.
sit back,отдыхать/ничего не делать,Don't just sit back—help us!|She sat back and watched.|He sat back and relaxed.
sort out,разобраться,We need to sort out this problem.|She sorted out the files.|He sorted out the details.
sound out,выяснять мнение,Let's sound out the staff.|She sounded out her friends.|They sounded out the idea.
stand by,поддерживать/ждать,I stand by my decision.|She stood by her promise.|Please stand by for updates.
stand out,выделяться,She stands out in a crowd.|He stood out among applicants.|Their work stands out.
step down,уйти в отставку,The CEO stepped down.|She stepped down after ten years.|He will step down soon.
stick to,придерживаться,Stick to your plan.|She sticks to the schedule.|They stick to the rules.
take in,понимать/принимать,It’s hard to take in all this info.|She took in the news slowly.|He took in the view.
talk into,уговорить,She talked me into joining.|They talked him into trying.|He talked them into buying.
talk out of,отговорить,She talked me out of quitting.|He talked them out of leaving.|They talked her out of it.
track down,разыскать,I need to track down that file.|She tracked down the source.|We tracked down the error.
turn down,отказать,He turned down the offer.|She turned down the job.|They turned down our request.
walk away,уходить,He walked away from the deal.|She walked away unharmed.|They walked away together.
wind up,заканчивать/оказываться,Let's wind up the meeting.|She wound up in trouble.|He wound up the business.
wipe out,уничтожить,The storm wiped out the crops.|He wiped out the competition.|Our savings were wiped out.
work around,найти обходной путь,We need to work around the issue.|She worked around the problem.|They found a way to work around it.
wrap up,завершать,Let's wrap up for today.|She wrapped up her report.|They wrapped up the deal.
zero in on,сосредотачиваться,Zero in on the main point.|She zeroed in on the problem.|They zeroed in on the target.
